time,position,rotation_matrix,velocity,action,lin_acc,obs,obs_norm
82.865,[0.67362708 0.72785634 0.56973612],"[[ 0.99671348  0.02042412  0.07839067]
 [ 0.00281835  0.95836572 -0.28552968]
 [-0.08095862  0.28481221  0.95515847]]",[ 1.39534444  0.93788502 -0.55837735],[ 2.8086014  -0.11343633 -0.30410272  0.04620295],[ 0.54672014 -6.92913724  4.55530967],"[ 6.73627079e-01  7.27856338e-01  5.69736123e-01  9.96713478e-01
  2.04241226e-02  7.83906693e-02  2.81834643e-03  9.58365722e-01
 -2.85529682e-01 -8.09586236e-02  2.84812215e-01  9.55158470e-01
  1.39534444e+00  9.37885017e-01 -5.58377346e-01  2.88444710e+00
  5.64563930e-01 -1.86906308e-01  6.67149574e-02  2.86121655e+00
  2.43011251e-01 -1.29613757e-01  7.29283020e-02  2.85958838e+00
  1.28238425e-02 -1.92901969e-01  6.19641840e-02]","[ 0.13472545  0.14557123 -0.7721056   0.9967134   0.02042413  0.07839072
  0.00281835  0.9583657  -0.28552967 -0.0809586   0.2848122   0.9551585
  0.13953447  0.0937885  -0.05583769 -0.04321206  0.09409404 -0.03115106
  0.01667869 -0.05099058  0.04050195 -0.02160227  0.01823211 -0.05153573
  0.00213742 -0.03215033  0.01549101]"
82.88,[0.68448639 0.7352137  0.56637651],"[[ 0.99677597  0.02236227  0.07705583]
 [ 0.00146223  0.95515308 -0.29610887]
 [-0.08022178  0.29526688  0.95204093]]",[ 1.39975425  0.87977661 -0.51716815],[ 2.7881076  -0.20428057 -0.28749692  0.05065867],[ 0.58575464 -7.4716742   5.30098094],"[ 6.84486389e-01  7.35213697e-01  5.66376507e-01  9.96775967e-01
  2.23622722e-02  7.70558260e-02  1.46223487e-03  9.55153076e-01
 -2.96108871e-01 -8.02217763e-02  2.95266880e-01  9.52040932e-01
  1.39975425e+00  8.79776608e-01 -5.17168152e-01  2.86121655e+00
  2.43011251e-01 -1.29613757e-01  7.29283020e-02  2.85958838e+00
  1.28238425e-02 -1.92901969e-01  6.19641840e-02  2.80860138e+00
 -1.13436334e-01 -3.04102719e-01  4.62029502e-02]","[ 0.13689733  0.14704275 -0.7734494   0.996776    0.02236223  0.07705581
  0.00146222  0.955153   -0.29610884 -0.08022177  0.29526687  0.9520409
  0.13997543  0.08797777 -0.0517168  -0.05099058  0.04050195 -0.02160227
  0.01823211 -0.05153573  0.00213742 -0.03215033  0.01549101 -0.06860822
 -0.018906   -0.0506838   0.01155078]"
82.892,[0.69538921 0.74210006 0.56332827],"[[ 0.9967289   0.02304913  0.07746117]
 [ 0.00137289  0.95350101 -0.3013867 ]
 [-0.080806    0.30050718  0.95035037]]",[ 1.40640813  0.82084973 -0.4678423 ],[ 2.74699    -0.30335277 -0.31580785  0.04304943],[ 0.61673768 -7.55334444  5.41632995],"[ 6.95389211e-01  7.42100060e-01  5.63328266e-01  9.96728903e-01
  2.30491303e-02  7.74611671e-02  1.37288774e-03  9.53501007e-01
 -3.01386704e-01 -8.08060022e-02  3.00507184e-01  9.50350368e-01
  1.40640813e+00  8.20849726e-01 -4.67842303e-01  2.85958838e+00
  1.28238425e-02 -1.92901969e-01  6.19641840e-02  2.80860138e+00
 -1.13436334e-01 -3.04102719e-01  4.62029502e-02  2.78810763e+00
 -2.04280570e-01 -2.87496924e-01  5.06586730e-02]","[ 0.1390779   0.1484201  -0.7746687   0.9967289   0.02304912  0.07746112
  0.00137293  0.953501   -0.3013867  -0.08080602  0.3005072   0.9503503
  0.14064085  0.08208501 -0.04678422 -0.05153573  0.00213742 -0.03215033
  0.01549101 -0.06860822 -0.018906   -0.0506838   0.01155078 -0.07547039
 -0.03404671 -0.04791617  0.01266468]"
82.903,[0.70633745 0.74850911 0.56060129],"[[ 0.99666869  0.02303284  0.07823688]
 [ 0.00194847  0.95229399 -0.30517594]
 [-0.08153358  0.30431175  0.94907673]]",[ 1.41127443  0.76252699 -0.42094212],[ 2.701828   -0.39080375 -0.36814797  0.0292364 ],[ 0.61956831 -7.58135785  5.47962849],"[ 7.06337452e-01  7.48509109e-01  5.60601294e-01  9.96668690e-01
  2.30328382e-02  7.82368849e-02  1.94847233e-03  9.52293993e-01
 -3.05175939e-01 -8.15335836e-02  3.04311746e-01  9.49076728e-01
  1.41127443e+00  7.62526992e-01 -4.20942123e-01  2.80860138e+00
 -1.13436334e-01 -3.04102719e-01  4.62029502e-02  2.78810763e+00
 -2.04280570e-01 -2.87496924e-01  5.06586730e-02  2.74698997e+00
 -3.03352773e-01 -3.15807849e-01  4.30494323e-02]","[ 0.14126754  0.14970183 -0.77575946  0.9966687   0.02303278  0.07823694
  0.00194848  0.952294   -0.3051759  -0.08153355  0.30431175  0.94907665
  0.14112747  0.07625282 -0.04209423 -0.06860822 -0.018906   -0.0506838
  0.01155078 -0.07547039 -0.03404671 -0.04791617  0.01266468 -0.08923823
 -0.05055881 -0.0526346   0.01076233]"
82.916,[0.72837263 0.75988626 0.55612975],"[[ 0.99671957  0.02167923  0.07797506]
 [ 0.00330024  0.95176725 -0.3068032 ]
 [-0.08086536  0.30605409  0.9485735 ]]",[ 1.42064559  0.64195812 -0.33265915],[ 2.589881   -0.5883961  -0.42944327  0.00543602],[ 0.5512571  -7.59178561  5.68661341],"[ 0.72837263  0.75988626  0.55612975  0.99671957  0.02167923  0.07797506
  0.00330024  0.95176725 -0.3068032  -0.08086536  0.30605409  0.9485735
  1.42064559  0.64195812 -0.33265915  2.78810763 -0.20428057 -0.28749692
  0.05065867  2.74698997 -0.30335277 -0.31580785  0.04304943  2.701828
 -0.39080375 -0.36814797  0.0292364 ]","[ 0.14567459  0.1519773  -0.7775481   0.9967196   0.02167928  0.07797503
  0.00330019  0.9517672  -0.30680323 -0.08086538  0.30605412  0.9485736
  0.14206457  0.06419587 -0.03326589 -0.07547039 -0.03404671 -0.04791617
  0.01266468 -0.08923823 -0.05055881 -0.0526346   0.01076233 -0.10436028
 -0.06513393 -0.06135798  0.00730908]"
82.928,[0.7505793  0.76934493 0.55301666],"[[ 0.997306    0.01760707  0.07120909]
 [ 0.00470124  0.95342751 -0.30158562]
 [-0.07320275  0.30110792  0.9507762 ]]",[ 1.4278134   0.52187958 -0.2453604 ],[ 2.481628   -0.61364585 -0.47600865 -0.00621487],[ 0.36571305 -7.2792119   5.37371106],"[ 0.7505793   0.76934493  0.55301666  0.997306    0.01760707  0.07120909
  0.00470124  0.95342751 -0.30158562 -0.07320275  0.30110792  0.9507762
  1.4278134   0.52187958 -0.2453604   2.74698997 -0.30335277 -0.31580785
  0.04304943  2.701828   -0.39080375 -0.36814797  0.0292364   2.58988094
 -0.58839607 -0.42944327  0.00543602]","[ 0.15011585  0.15386903 -0.77879333  0.997306    0.01760709  0.07120907
  0.00470126  0.95342755 -0.3015856  -0.07320273  0.30110788  0.9507762
  0.14278138  0.05218792 -0.02453601 -0.08923823 -0.05055881 -0.0526346
  0.01076233 -0.10436028 -0.06513393 -0.06135798  0.00730908 -0.14184463
 -0.09806597 -0.07157385  0.00135899]"
82.94,[0.76173615 0.77336466 0.55197567],"[[ 0.99759868  0.01601199  0.06738316]
 [ 0.00501091  0.95367302 -0.30080336]
 [-0.06907796  0.30041869  0.95130271]]",[ 1.43139005  0.46347913 -0.19679831],[ 2.423581   -0.61771524 -0.46272898 -0.00529996],[ 0.31546867 -7.14958637  5.02051682],"[ 0.76173615  0.77336466  0.55197567  0.99759868  0.01601199  0.06738316
  0.00501091  0.95367302 -0.30080336 -0.06907796  0.30041869  0.95130271
  1.43139005  0.46347913 -0.19679831  2.701828   -0.39080375 -0.36814797
  0.0292364   2.58988094 -0.58839607 -0.42944327  0.00543602  2.48162794
 -0.61364585 -0.47600865 -0.00621487]","[ 0.1523472   0.15467298 -0.77920973  0.99759865  0.01601195  0.06738317
  0.00501096  0.953673   -0.30080336 -0.06907797  0.30041862  0.95130277
  0.143139    0.04634798 -0.01967984 -0.10436028 -0.06513393 -0.06135798
  0.00730908 -0.14184463 -0.09806597 -0.07157385  0.00135899 -0.17809206
 -0.1022743  -0.07933474 -0.00155371]"
82.952,[0.78413689 0.78002161 0.55086899],"[[ 0.99768553  0.01579862  0.06613619]
 [ 0.00496302  0.95312053 -0.30255019]
 [-0.06781564  0.30217818  0.95083615]]",[ 1.43625677  0.34891358 -0.11430291],[ 2.298553   -0.87423545 -0.49734664 -0.02817884],[ 0.2825824  -7.03933058  4.65816815],"[ 0.78413689  0.78002161  0.55086899  0.99768553  0.01579862  0.06613619
  0.00496302  0.95312053 -0.30255019 -0.06781564  0.30217818  0.95083615
  1.43625677  0.34891358 -0.11430291  2.58988094 -0.58839607 -0.42944327
  0.00543602  2.48162794 -0.61364585 -0.47600865 -0.00621487  2.42358088
 -0.61771524 -0.46272898 -0.00529996]","[ 0.15682733  0.15600431 -0.7796524   0.99768555  0.01579857  0.06613624
  0.00496304  0.95312047 -0.3025502  -0.06781566  0.30217814  0.9508362
  0.14362562  0.03489137 -0.01143026 -0.14184463 -0.09806597 -0.07157385
  0.00135899 -0.17809206 -0.1022743  -0.07933474 -0.00155371 -0.19752854
 -0.10295254 -0.0771215  -0.00132501]"
82.963,[0.7953757  0.78267086 0.55076748],"[[ 0.99771783  0.01618893  0.06555187]
 [ 0.00458445  0.95235011 -0.30497255]
 [-0.06736551  0.30457707  0.95010247]]",[ 1.43835127  0.29254234 -0.07613903],[ 2.267668   -0.92105156 -0.60119367 -0.04640129],[ 0.22681126 -6.75033827  3.95578303],"[ 0.7953757   0.78267086  0.55076748  0.99771783  0.01618893  0.06555187
  0.00458445  0.95235011 -0.30497255 -0.06736551  0.30457707  0.95010247
  1.43835127  0.29254234 -0.07613903  2.48162794 -0.61364585 -0.47600865
 -0.00621487  2.42358088 -0.61771524 -0.46272898 -0.00529996  2.29855299
 -0.87423545 -0.49734664 -0.02817884]","[ 0.15907514  0.1565342  -0.779693    0.99771786  0.01618898  0.06555188
  0.00458443  0.95235014 -0.30497253 -0.06736553  0.3045771   0.95010245
  0.14383519  0.02925432 -0.00761396 -0.17809206 -0.1022743  -0.07933474
 -0.00155371 -0.19752854 -0.10295254 -0.0771215  -0.00132501 -0.23939294
 -0.14570594 -0.08289111 -0.00704473]"
82.975,[0.80663705 0.78487915 0.55091208],"[[ 0.99776909  0.01737866  0.06445789]
 [ 0.00321327  0.95190245 -0.3063844 ]
 [-0.06668217  0.30590801  0.949723  ]]",[ 1.43966839  0.24042031 -0.04424117],[ 2.2478461  -0.9560067  -0.6166144  -0.04726271],[ 0.12597016 -6.33594753  3.35212852],"[ 0.80663705  0.78487915  0.55091208  0.99776909  0.01737866  0.06445789
  0.00321327  0.95190245 -0.3063844  -0.06668217  0.30590801  0.949723
  1.43966839  0.24042031 -0.04424117  2.42358088 -0.61771524 -0.46272898
 -0.00529996  2.29855299 -0.87423545 -0.49734664 -0.02817884  2.26766801
 -0.92105156 -0.60119367 -0.04640129]","[ 0.16132736  0.15697587 -0.7796352   0.9977691   0.01737869  0.06445789
  0.00321329  0.9519024  -0.30638444 -0.06668216  0.30590796  0.949723
  0.14396691  0.02404201 -0.0044241  -0.19752854 -0.10295254 -0.0771215
 -0.00132501 -0.23939294 -0.14570594 -0.08289111 -0.00704473 -0.24973446
 -0.15350854 -0.10019886 -0.01160032]"
82.982,[0.84051079 0.78905475 0.55264223],"[[ 0.99818772  0.0193223   0.05699057]
 [-0.0016834   0.95564373 -0.29452035]
 [-0.06015349  0.29389066  0.95394436]]",[1.44119728 0.09162631 0.03464811],[ 2.123888   -1.0886314  -0.6242752  -0.05703643],[ 0.01947429 -5.91581317  2.77581579],"[ 8.40510786e-01  7.89054751e-01  5.52642226e-01  9.98187720e-01
  1.93222990e-02  5.69905661e-02 -1.68340321e-03  9.55643725e-01
 -2.94520349e-01 -6.01534871e-02  2.93890658e-01  9.53944359e-01
  1.44119728e+00  9.16263148e-02  3.46481075e-02  2.29855299e+00
 -8.74235451e-01 -4.97346640e-01 -2.81788409e-02  2.26766801e+00
 -9.21051562e-01 -6.01193666e-01 -4.64012921e-02  2.24784613e+00
 -9.56006706e-01 -6.16614401e-01 -4.72627133e-02]","[ 0.16810215  0.15781105 -0.7789431   0.9981878   0.01932228  0.05699062
 -0.00168341  0.95564365 -0.29452038 -0.06015348  0.2938907   0.95394444
  0.14411974  0.00916266  0.00346482 -0.23939294 -0.14570594 -0.08289111
 -0.00704473 -0.24973446 -0.15350854 -0.10019886 -0.01160032 -0.25637162
 -0.15933442 -0.10276902 -0.01181567]"
82.989,[0.84051079 0.78905475 0.55264223],"[[ 0.99818772  0.0193223   0.05699057]
 [-0.0016834   0.95564373 -0.29452035]
 [-0.06015349  0.29389066  0.95394436]]",[1.44119728 0.09162631 0.03464811],[ 2.131103   -1.014101   -0.65883213 -0.05608892],[-0.14900587 -5.36923584  2.23781065],"[ 8.40510786e-01  7.89054751e-01  5.52642226e-01  9.98187720e-01
  1.93222990e-02  5.69905661e-02 -1.68340321e-03  9.55643725e-01
 -2.94520349e-01 -6.01534871e-02  2.93890658e-01  9.53944359e-01
  1.44119728e+00  9.16263148e-02  3.46481075e-02  2.26766801e+00
 -9.21051562e-01 -6.01193666e-01 -4.64012921e-02  2.24784613e+00
 -9.56006706e-01 -6.16614401e-01 -4.72627133e-02  2.12388802e+00
 -1.08863139e+00 -6.24275208e-01 -5.70364296e-02]","[ 0.16810215  0.15781105 -0.7789431   0.9981878   0.01932228  0.05699062
 -0.00168341  0.95564365 -0.29452038 -0.06015348  0.2938907   0.95394444
  0.14411974  0.00916266  0.00346482 -0.24973446 -0.15350854 -0.10019886
 -0.01160032 -0.25637162 -0.15933442 -0.10276902 -0.01181567 -0.29787773
 -0.18143857 -0.10404587 -0.0142591 ]"
82.996,[0.85181051 0.7897076  0.55355614],"[[ 0.99859002  0.01966945  0.04930605]
 [-0.00502321  0.95966512 -0.28110074]
 [-0.05284639  0.28045672  0.95841081]]",[1.43984818 0.04872737 0.05385289],[ 2.1376557  -0.8541102  -0.58699465 -0.04212952],[-0.14900587 -5.36923584  2.23781065],"[ 0.85181051  0.7897076   0.55355614  0.99859002  0.01966945  0.04930605
 -0.00502321  0.95966512 -0.28110074 -0.05284639  0.28045672  0.95841081
  1.43984818  0.04872737  0.05385289  2.24784613 -0.95600671 -0.6166144
 -0.04726271  2.12388802 -1.08863139 -0.62427521 -0.05703643  2.13110304
 -1.01410103 -0.65883213 -0.05608892]","[ 0.17036211  0.15794158 -0.77857757  0.99859     0.01966941  0.04930604
 -0.00502318  0.95966506 -0.28110075 -0.05284637  0.28045678  0.95841074
  0.1439848   0.00487268  0.00538528 -0.25637162 -0.15933442 -0.10276902
 -0.01181567 -0.29787773 -0.18143857 -0.10404587 -0.0142591  -0.2954619
 -0.16901684 -0.10980535 -0.01402223]"
83.003,[0.8631025 0.7900331 0.5545885],"[[ 0.99883809  0.0193762   0.04412518]
 [-0.00664324  0.96223073 -0.27215415]
 [-0.04773192  0.2715448   0.96124143]]",[1.43762326 0.00948163 0.06755566],[ 2.1116514  -0.86174893 -0.5314847  -0.04149316],[-0.26317754 -4.8827603   1.49158786],"[ 0.8631025   0.7900331   0.5545885   0.99883809  0.0193762   0.04412518
 -0.00664324  0.96223073 -0.27215415 -0.04773192  0.2715448   0.96124143
  1.43762326  0.00948163  0.06755566  2.12388802 -1.08863139 -0.62427521
 -0.05703643  2.13110304 -1.01410103 -0.65883213 -0.05608892  2.13765574
 -0.85411018 -0.58699465 -0.04212952]","[ 1.72620535e-01  1.58006668e-01 -7.78164625e-01  9.98838067e-01
  1.93761587e-02  4.41251993e-02 -6.64323568e-03  9.62230682e-01
 -2.72154152e-01 -4.77319360e-02  2.71544814e-01  9.61241484e-01
  1.43762350e-01  9.48190689e-04  6.75559044e-03 -2.97877729e-01
 -1.81438565e-01 -1.04045868e-01 -1.42591000e-02 -2.95461893e-01
 -1.69016838e-01 -1.09805346e-01 -1.40222311e-02 -2.93267787e-01
 -1.42351687e-01 -9.78324413e-02 -1.05323792e-02]"
83.01,[0.8631025 0.7900331 0.5545885],"[[ 0.99883809  0.0193762   0.04412518]
 [-0.00664324  0.96223073 -0.27215415]
 [-0.04773192  0.2715448   0.96124143]]",[1.43762326 0.00948163 0.06755566],[ 2.09894    -0.89272565 -0.5579784  -0.05235545],[-0.38696173 -4.37773886  0.81632165],"[ 0.8631025   0.7900331   0.5545885   0.99883809  0.0193762   0.04412518
 -0.00664324  0.96223073 -0.27215415 -0.04773192  0.2715448   0.96124143
  1.43762326  0.00948163  0.06755566  2.13110304 -1.01410103 -0.65883213
 -0.05608892  2.13765574 -0.85411018 -0.58699465 -0.04212952  2.11165142
 -0.86174893 -0.53148472 -0.04149316]","[ 1.72620535e-01  1.58006668e-01 -7.78164625e-01  9.98838067e-01
  1.93761587e-02  4.41251993e-02 -6.64323568e-03  9.62230682e-01
 -2.72154152e-01 -4.77319360e-02  2.71544814e-01  9.61241484e-01
  1.43762350e-01  9.48190689e-04  6.75559044e-03 -2.95461893e-01
 -1.69016838e-01 -1.09805346e-01 -1.40222311e-02 -2.93267787e-01
 -1.42351687e-01 -9.78324413e-02 -1.05323792e-02 -3.01975071e-01
 -1.43624783e-01 -8.85807276e-02 -1.03732944e-02]"
83.017,[0.87438023 0.79005849 0.55569166],"[[ 0.99912746  0.01818549  0.03759799]
 [-0.00775984  0.96538101 -0.2607284 ]
 [-0.04103786  0.26020915  0.96467979]]",[ 1.43470204 -0.02675684  0.07703134],[ 2.0982685  -0.76477385 -0.5453385  -0.04886073],[-0.38696173 -4.37773886  0.81632165],"[ 0.87438023  0.79005849  0.55569166  0.99912746  0.01818549  0.03759799
 -0.00775984  0.96538101 -0.2607284  -0.04103786  0.26020915  0.96467979
  1.43470204 -0.02675684  0.07703134  2.13765574 -0.85411018 -0.58699465
 -0.04212952  2.11165142 -0.86174893 -0.53148472 -0.04149316  2.0989399
 -0.89272565 -0.55797839 -0.05235545]","[ 0.1748761   0.1580118  -0.7777233   0.9991274   0.0181855   0.03759801
 -0.00775981  0.965381   -0.26072836 -0.04103786  0.26020908  0.9646797
  0.14347017 -0.00267571  0.00770319 -0.2932678  -0.14235169 -0.09783244
 -0.01053238 -0.30197507 -0.14362478 -0.08858073 -0.01037329 -0.30623138
 -0.14878756 -0.09299642 -0.01308888]"
83.024,[0.89687437 0.78928947 0.55801898],"[[ 0.99920272  0.01763662  0.03581715]
 [-0.0078221   0.96622984 -0.257563  ]
 [-0.03915014  0.25707749  0.96559745]]",[ 1.42738283 -0.09257305  0.08644929],[ 2.0351126  -0.9397845  -0.53090173 -0.0571256 ],[-0.42703855 -4.14072784  0.42523766],"[ 0.89687437  0.78928947  0.55801898  0.99920272  0.01763662  0.03581715
 -0.0078221   0.96622984 -0.257563   -0.03915014  0.25707749  0.96559745
  1.42738283 -0.09257305  0.08644929  2.11165142 -0.86174893 -0.53148472
 -0.04149316  2.0989399  -0.89272565 -0.55797839 -0.05235545  2.09826851
 -0.76477385 -0.54533851 -0.04886073]","[ 0.17937493  0.1578579  -0.7767924   0.9992027   0.01763666  0.03581715
 -0.0078221   0.9662299  -0.257563   -0.03915012  0.25707746  0.9655974
  0.14273822 -0.00925732  0.00864494 -0.30197507 -0.14362478 -0.08858073
 -0.01037329 -0.30623138 -0.14878756 -0.09299642 -0.01308888 -0.3064562
 -0.12746227 -0.09088975 -0.0122152 ]"
83.033,[0.90808344 0.78852558 0.55920124],"[[ 0.99945393  0.01544139  0.02921319]
 [-0.00775905  0.96904595 -0.24675845]
 [-0.03211922  0.24639704  0.9686366 ]]",[ 1.42311323 -0.12301173  0.0879349 ],[ 2.0529962  -0.78334737 -0.5418385  -0.05368353],[-0.51672449 -3.82142388  0.07522695],"[ 0.90808344  0.78852558  0.55920124  0.99945393  0.01544139  0.02921319
 -0.00775905  0.96904595 -0.24675845 -0.03211922  0.24639704  0.9686366
  1.42311323 -0.12301173  0.0879349   2.0989399  -0.89272565 -0.55797839
 -0.05235545  2.09826851 -0.76477385 -0.54533851 -0.04886073  2.03511262
 -0.93978453 -0.53090173 -0.0571256 ]","[ 0.18161666  0.15770519 -0.7763195   0.9994539   0.01544142  0.02921319
 -0.00775903  0.9690459  -0.24675846 -0.03211921  0.24639702  0.9686365
  0.14231133 -0.01230115  0.00879347 -0.30623138 -0.14878756 -0.09299642
 -0.01308888 -0.3064562  -0.12746227 -0.09088975 -0.0122152  -0.32760334
 -0.15663075 -0.08848363 -0.01428139]"
83.042,[0.91926247 0.78752708 0.56036878],"[[ 0.99957533  0.01481152  0.02509549]
 [-0.00832229  0.97042331 -0.24126612]
 [-0.02792677  0.24095481  0.97013446]]",[ 1.41878551 -0.15130879  0.078963  ],[ 2.0560403  -0.7644747  -0.48676395 -0.04623055],[-0.57336485 -3.54775092 -0.43195144],"[ 0.91926247  0.78752708  0.56036878  0.99957533  0.01481152  0.02509549
 -0.00832229  0.97042331 -0.24126612 -0.02792677  0.24095481  0.97013446
  1.41878551 -0.15130879  0.078963    2.09826851 -0.76477385 -0.54533851
 -0.04886073  2.03511262 -0.93978453 -0.53090173 -0.0571256   2.05299616
 -0.78334737 -0.54183853 -0.05368353]","[ 0.18385255  0.1575054  -0.7758525   0.9995754   0.01481152  0.02509546
 -0.0083223   0.9704232  -0.24126613 -0.02792674  0.24095488  0.9701345
  0.14187849 -0.01513088  0.0078963  -0.3064562  -0.12746227 -0.09088975
 -0.0122152  -0.32760334 -0.15663075 -0.08848363 -0.01428139 -0.32161516
 -0.13055784 -0.0903064  -0.01342088]"
83.053,[0.93040746 0.78631002 0.56149435],"[[ 0.99969194  0.01474322  0.01996654]
 [-0.00963921  0.97193469 -0.23505326]
 [-0.02287161  0.23478839  0.97177739]]",[ 1.41369655 -0.1767765   0.07242021],[ 2.0661068  -0.75641596 -0.44636598 -0.04195327],[-0.65053071 -3.25167508 -0.90959991],"[ 0.93040746  0.78631002  0.56149435  0.99969194  0.01474322  0.01996654
 -0.00963921  0.97193469 -0.23505326 -0.02287161  0.23478839  0.97177739
  1.41369655 -0.1767765   0.07242021  2.03511262 -0.93978453 -0.53090173
 -0.0571256   2.05299616 -0.78334737 -0.54183853 -0.05368353  2.05604029
 -0.76447469 -0.48676395 -0.04623055]","[ 0.18608153  0.15726209 -0.77540225  0.99969196  0.01474321  0.01996648
 -0.0096392   0.9719347  -0.23505324 -0.02287161  0.23478842  0.97177744
  0.1413697  -0.01767766  0.00724208 -0.32760334 -0.15663075 -0.08848363
 -0.01428139 -0.32161516 -0.13055784 -0.0903064  -0.01342088 -0.32059592
 -0.12741244 -0.08112729 -0.01155764]"
83.063,[0.9525758  0.78327644 0.56355113],"[[ 0.99981779  0.01578213  0.01073855]
 [-0.01297437  0.97446614 -0.22415935]
 [-0.01400207  0.22397918  0.97449334]]",[ 1.40192863 -0.22192655  0.04834393],[ 2.0888157  -0.6731821  -0.40981814 -0.03705716],[-0.75555158 -2.99938248 -1.20986629],"[ 0.9525758   0.78327644  0.56355113  0.99981779  0.01578213  0.01073855
 -0.01297437  0.97446614 -0.22415935 -0.01400207  0.22397918  0.97449334
  1.40192863 -0.22192655  0.04834393  2.05299616 -0.78334737 -0.54183853
 -0.05368353  2.05604029 -0.76447469 -0.48676395 -0.04623055  2.0661068
 -0.75641596 -0.44636598 -0.04195327]","[ 0.19051516  0.15665531 -0.7745795   0.99981785  0.01578212  0.01073861
 -0.01297438  0.9744661  -0.22415936 -0.01400208  0.22397923  0.97449327
  0.14019287 -0.02219266  0.00483441 -0.32161516 -0.13055784 -0.0903064
 -0.01342088 -0.32059592 -0.12741244 -0.08112729 -0.01155764 -0.31722522
 -0.1260693  -0.07439429 -0.01048833]"
83.072,[0.96358943 0.78148735 0.56444484],"[[ 0.9998393   0.01787785  0.00132591]
 [-0.01718989  0.97709524 -0.21210705]
 [-0.00508755  0.21205017  0.97724554]]",[ 1.39508445 -0.24193241  0.03609598],[ 2.115952   -0.54062456 -0.32632816 -0.0203155 ],[-0.86629178 -2.69968758 -1.55199278],"[ 9.63589430e-01  7.81487346e-01  5.64444840e-01  9.99839299e-01
  1.78778509e-02  1.32590558e-03 -1.71898915e-02  9.77095239e-01
 -2.12107050e-01 -5.08755425e-03  2.12050172e-01  9.77245538e-01
  1.39508445e+00 -2.41932411e-01  3.60959812e-02  2.05604029e+00
 -7.64474690e-01 -4.86763954e-01 -4.62305546e-02  2.06610680e+00
 -7.56415963e-01 -4.46365982e-01 -4.19532657e-02  2.08881569e+00
 -6.73182070e-01 -4.09818143e-01 -3.70571613e-02]","[ 0.19271791  0.15629756 -0.7742221   0.9998393   0.01787782  0.00132596
 -0.01718992  0.97709525 -0.21210706 -0.00508755  0.2120502   0.97724557
  0.13950849 -0.02419329  0.00360954 -0.32059592 -0.12741244 -0.08112729
 -0.01155764 -0.31722522 -0.1260693  -0.07439429 -0.01048833 -0.3096214
 -0.11219698 -0.06830299 -0.00926429]"
83.083,[0.97455019 0.77953225 0.56522852],"[[ 9.99802427e-01  1.94685605e-02 -4.01015302e-03]
 [-1.98772190e-02  9.78750428e-01 -2.04089430e-01]
 [-4.83884372e-05  2.04128818e-01  9.78944035e-01]]",[ 1.38706385 -0.26386179  0.02964091],[ 2.1013772  -0.54408795 -0.2568981  -0.01495735],[-0.92745304 -2.54783665 -1.64072536],"[ 9.74550188e-01  7.79532254e-01  5.65228522e-01  9.99802427e-01
  1.94685605e-02 -4.01015302e-03 -1.98772190e-02  9.78750428e-01
 -2.04089430e-01 -4.83884372e-05  2.04128818e-01  9.78944035e-01
  1.38706385e+00 -2.63861787e-01  2.96409069e-02  2.06610680e+00
 -7.56415963e-01 -4.46365982e-01 -4.19532657e-02  2.08881569e+00
 -6.73182070e-01 -4.09818143e-01 -3.70571613e-02  2.11595201e+00
 -5.40624559e-01 -3.26328158e-01 -2.03154981e-02]","[ 1.9491005e-01  1.5590656e-01 -7.7390862e-01  9.9980235e-01
  1.9468546e-02 -4.0101409e-03 -1.9877195e-02  9.7875047e-01
 -2.0408940e-01 -4.8398972e-05  2.0412886e-01  9.7894406e-01
  1.3870645e-01 -2.6386142e-02  2.9641390e-03 -3.1722522e-01
 -1.2606931e-01 -7.4394286e-02 -1.0488331e-02 -3.0962139e-01
 -1.1219698e-01 -6.8302989e-02 -9.2642903e-03 -3.0053502e-01
 -9.0104103e-02 -5.4388046e-02 -5.0788522e-03]"
83.093,[0.98545468 0.77742004 0.56589818],"[[ 0.99971978  0.02146843 -0.00997367]
 [-0.02298915  0.98097157 -0.19278558]
 [ 0.00564509  0.19296084  0.98119022]]",[ 1.37930388 -0.28233707  0.01484796],[ 2.110678   -0.45520306 -0.23460609 -0.01443036],[-0.99431328 -2.35702268 -1.70229916],"[ 0.98545468  0.77742004  0.56589818  0.99971978  0.02146843 -0.00997367
 -0.02298915  0.98097157 -0.19278558  0.00564509  0.19296084  0.98119022
  1.37930388 -0.28233707  0.01484796  2.08881569 -0.67318207 -0.40981814
 -0.03705716  2.11595201 -0.54062456 -0.32632816 -0.0203155   2.10137725
 -0.54408795 -0.25689811 -0.01495735]","[ 0.19709098  0.15548408 -0.77364075  0.99971986  0.0214684  -0.00997365
 -0.02298915  0.9809716  -0.19278556  0.00564504  0.19296086  0.9811902
  0.1379304  -0.02823371  0.00148475 -0.3096214  -0.11219698 -0.06830299
 -0.00926429 -0.30053502 -0.0901041  -0.05438805 -0.00507885 -0.30541527
 -0.09068131 -0.04281628 -0.00373936]"
